Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20002002","2000-2002","g/cap/d","59.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20012003","2001-2003","g/cap/d","59.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20022004","2002-2004","g/cap/d","59","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20032005","2003-2005","g/cap/d","59.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20042006","2004-2006","g/cap/d","59.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20052007","2005-2007","g/cap/d","61","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20062008","2006-2008","g/cap/d","61.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20072009","2007-2009","g/cap/d","62.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20082010","2008-2010","g/cap/d","63.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20092011","2009-2011","g/cap/d","64.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20102012","2010-2012","g/cap/d","64.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20112013","2011-2013","g/cap/d","65","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20122014","2012-2014","g/cap/d","65.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20132015","2013-2015","g/cap/d","66.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20142016","2014-2016","g/cap/d","67.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/cap/d","68.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20162018","2016-2018","g/cap/d","69.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","69.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20182020","2018-2020","g/cap/d","69.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","70.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20202022","2020-2022","g/cap/d","70.5","E","Estimated value",""
