Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2000","2000","Int$/cap","3543.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2001","2001","Int$/cap","3560.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2002","2002","Int$/cap","3562.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2003","2003","Int$/cap","3673.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2004","2004","Int$/cap","3874.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2005","2005","Int$/cap","4067.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2006","2006","Int$/cap","4223.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2007","2007","Int$/cap","4318","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2008","2008","Int$/cap","4314.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2009","2009","Int$/cap","4366","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2010","2010","Int$/cap","4332.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2011","2011","Int$/cap","4356","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2012","2012","Int$/cap","4407.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2013","2013","Int$/cap","4530.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2014","2014","Int$/cap","4650.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2015","2015","Int$/cap","4784.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2016","2016","Int$/cap","5038","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","Int$/cap","5191.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2018","2018","Int$/cap","5427.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2019","2019","Int$/cap","5474","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","5311.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2021","2021","Int$/cap","5554.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","165","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","5706.9","X","Figure from international organizations",""
