Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1990","1990","1000 No","74754.921","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1990","1990","1000 No","32923.693","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1991","1991","1000 No","34133.44","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1991","1991","1000 No","76596.98","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1992","1992","1000 No","78397.927","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1992","1992","1000 No","35349.208","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1993","1993","1000 No","36576.156","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1993","1993","1000 No","80173.404","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1994","1994","1000 No","81944.046","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1994","1994","1000 No","37825.51","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1995","1995","1000 No","39104.11","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1995","1995","1000 No","83725.038","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1996","1996","1000 No","85522.34","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1996","1996","1000 No","40415.999","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1997","1997","1000 No","41757.031","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1997","1997","1000 No","87329.956","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1998","1998","1000 No","89157.996","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1998","1998","1000 No","43095.268","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","1999","1999","1000 No","44390.191","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","1999","1999","1000 No","91015.393","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 No","92835.896","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 No","45687.389","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 No","46983.935","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 No","94617.502","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 No","96368.659","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 No","48285.484","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 No","49598.941","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 No","98104.46","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2004","2004","1000 No","99845.05","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2004","2004","1000 No","50935.25","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2005","2005","1000 No","52301.807","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2005","2005","1000 No","101607.86","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2006","2006","1000 No","103392.912","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2006","2006","1000 No","53701.081","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","561","Urban population","3010","Population - Est. & Proj.","2007","2007","1000 No","55132.929","X","Figure from international organizations",""
"OA","Annual population","165","Pakistan","551","Rural population","3010","Population - Est. & Proj.","2007","2007","1000 No","105200.045","X","Figure from international organizations",""
