Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20002002","2000-2002","g/cap/d","109.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20012003","2001-2003","g/cap/d","112.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20022004","2002-2004","g/cap/d","113.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20032005","2003-2005","g/cap/d","109.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20042006","2004-2006","g/cap/d","104.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20052007","2005-2007","g/cap/d","103.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20062008","2006-2008","g/cap/d","105.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20072009","2007-2009","g/cap/d","105.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20082010","2008-2010","g/cap/d","95.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20092011","2009-2011","g/cap/d","89","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20102012","2010-2012","g/cap/d","82.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20112013","2011-2013","g/cap/d","87.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20122014","2012-2014","g/cap/d","87.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20132015","2013-2015","g/cap/d","89.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20142016","2014-2016","g/cap/d","90","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/cap/d","91.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20162018","2016-2018","g/cap/d","92.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","93","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20182020","2018-2020","g/cap/d","100.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","108.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20202022","2020-2022","g/cap/d","115.5","E","Estimated value",""
