Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1972","1972","t","457","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1972","1972","t","50","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1972","1972","t","50","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1973","1973","t","495","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1973","1973","t","27","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1973","1973","t","8","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","t","638","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1974","1974","t","63","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1974","1974","t","18","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","t","800","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1975","1975","t","100","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1976","1976","t","1000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1976","1976","t","100","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1977","1977","t","500","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1977","1977","t","400","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1978","1978","t","730","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1978","1978","t","469","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1978","1978","t","315","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1979","1979","t","2100","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1979","1979","t","800","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1979","1979","t","600","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1980","1980","t","2261","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1980","1980","t","635","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1980","1980","t","158","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1981","1981","t","2356","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1981","1981","t","970","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1981","1981","t","329","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1982","1982","t","2439","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1982","1982","t","970","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1982","1982","t","400","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1983","1983","t","2609","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1983","1983","t","786","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1983","1983","t","1200","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1984","1984","t","2012","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1984","1984","t","500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1984","1984","t","223","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1985","1985","t","2769","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1985","1985","t","800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1985","1985","t","158","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1986","1986","t","980","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1986","1986","t","360","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1986","1986","t","100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1987","1987","t","2020","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1987","1987","t","1000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1987","1987","t","100","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1988","1988","t","2000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1988","1988","t","1600","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1988","1988","t","1800","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1989","1989","t","7820","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1989","1989","t","1600","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1989","1989","t","2700","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1990","1990","t","9200","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1990","1990","t","1200","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1990","1990","t","2100","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1991","1991","t","14170","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1991","1991","t","1300","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1991","1991","t","2000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1992","1992","t","19000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1992","1992","t","1300","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1992","1992","t","2000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1993","1993","t","20000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1993","1993","t","4700","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1993","1993","t","3000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1994","1994","t","23000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1994","1994","t","3400","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1994","1994","t","3000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1995","1995","t","25000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1995","1995","t","4000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1995","1995","t","3000","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1996","1996","t","24500","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1996","1996","t","3300","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1996","1996","t","4400","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1997","1997","t","24200","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1997","1997","t","3700","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","225","United Arab Emirates","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1997","1997","t","4400","X","Figure from international organizations","Data sourced from another international organization"
