Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2000","2000","Int$/cap","98713.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2001","2001","Int$/cap","94911.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2002","2002","Int$/cap","92419.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2003","2003","Int$/cap","95812.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2004","2004","Int$/cap","100249","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2005","2005","Int$/cap","98053.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2006","2006","Int$/cap","94114","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2007","2007","Int$/cap","81010.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2008","2008","Int$/cap","70246","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2009","2009","Int$/cap","58202","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2010","2010","Int$/cap","55724.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2011","2011","Int$/cap","58543.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2012","2012","Int$/cap","58994.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2013","2013","Int$/cap","61361.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2014","2014","Int$/cap","63309.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2015","2015","Int$/cap","66992.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2016","2016","Int$/cap","70109.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","Int$/cap","70048.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2018","2018","Int$/cap","70410.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2019","2019","Int$/cap","70638.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","66590.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2021","2021","Int$/cap","68912.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","225","United Arab Emirates","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","73724.3","X","Figure from international organizations",""
