Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1990,1990,1000 No,389.683,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1990,1990,1000 No,1470.491,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1991,1991,1000 No,1554.473,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1991,1991,1000 No,415.553,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1992,1992,1000 No,443.197,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1992,1992,1000 No,1643.442,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1993,1993,1000 No,1735.328,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1993,1993,1000 No,472.077,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1994,1994,1000 No,501.442,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1994,1994,1000 No,1827.244,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1995,1995,1000 No,1917.885,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1995,1995,1000 No,530.935,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1996,1996,1000 No,552.95,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1996,1996,1000 No,2018.07,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1997,1997,1000 No,2131.346,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1997,1997,1000 No,568.664,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1998,1998,1000 No,585.29,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1998,1998,1000 No,2252.855,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,1999,1999,1000 No,2384.857,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,1999,1999,1000 No,603.305,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,2000,2000,1000 No,623.527,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,2000,2000,1000 No,2531.398,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,2001,2001,1000 No,2682.6,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,2001,2001,1000 No,643.432,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,2002,2002,1000 No,664.034,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,2002,2002,1000 No,2843.198,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,561,Urban population,3010,Population - Est. & Proj.,2003,2003,1000 No,3048.628,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,2003,2003,1000 No,693.304,X,Figure from international organizations,
OA,Annual population,225,United Arab Emirates,551,Rural population,3010,Population - Est. & Proj.,2004,2004,1000 No,741.096,X,Figure from international organizations,
